# Bris star catalog source data.
#
# AUTOGENERATED by scripts/import_bsc.py from the Yale Bright Star
# Catalogue (BSC5) at https://cdsarc.cds.unistra.fr/ftp/V/50/.
# Do not hand-edit; rerun the importer to refresh.
#
# Format: tab-separated, one star per line, '#' starts a comment.
# Columns:
#   hr           Yale BSC number (primary key).
#   hip          Hipparcos number, 0 if not cross-referenced.
#   name         Conventional name, spaces replaced by '_'.
#   ra_deg       Right ascension in decimal degrees, J2000.0.
#   dec_deg      Declination in decimal degrees, J2000.0.
#   pm_ra_mas    Proper motion in RA, mas/yr (dα/dt × cos δ).
#   pm_dec_mas   Proper motion in declination, mas/yr.
#   parallax_mas Trigonometric parallax in milliarcseconds.
#   vmag         Apparent visual magnitude.
#   nav57        '*' if one of the 57 standard navigational stars.
#
# hr	hip	name	ra_deg	dec_deg	pm_ra_mas	pm_dec_mas	parallax_mas	vmag	nav57
225	0	64____Psc	12.244583	16.940556	-3.00	-204.00	47.00	5.07	
226	0	35Nu__And	12.453333	41.078889	23.00	-19.00	0.00	4.53	
227	0	HR227	12.356667	-13.561389	105.00	-104.00	0.00	5.59	
228	0	HR228	12.307917	-24.136389	78.00	-51.00	0.00	5.90	
229	0	HR229	12.236250	-46.697778	-8.00	17.00	0.00	6.27	
230	0	65____Psc	12.470000	27.710833	84.00	-10.00	11.00	7.00	
231	0	65____Psc	12.471667	27.710278	91.00	-9.00	11.00	7.10	
232	0	HR232	12.389167	-23.361667	-8.00	0.00	0.00	6.28	
233	0	HR233	12.681667	64.247500	30.00	-12.00	0.00	5.39	
234	0	HR234	12.576250	45.002222	65.00	6.00	0.00	6.15	
235	0	19Phi2Cet	12.531667	-10.644444	-226.00	-229.00	65.00	5.19	
236	0	Lam_Hyi	12.147500	-74.923333	130.00	-33.00	25.00	5.07	
237	0	HR237	12.818333	61.805833	-2.00	6.00	0.00	6.07	
238	0	HR238	12.739167	51.508056	135.00	-3.00	0.00	6.39	
239	0	HR239	12.515417	-43.394722	11.00	16.00	0.00	6.48	
240	0	HR240	13.721250	83.707222	62.00	-22.00	0.00	5.62	
241	0	HR241	12.890417	51.571111	-10.00	-19.00	0.00	6.21	
242	0	Rho_Phe	12.671667	-50.986944	67.00	39.00	5.00	5.22	
243	0	HR243	12.826250	3.385000	16.00	-67.00	0.00	6.37	
244	0	HR244	13.267083	61.124167	-71.00	172.00	66.00	4.82	
245	0	HR245	12.967083	-43.709167	25.00	-13.00	7.00	6.90	
246	0	HR246	13.222500	38.548611	29.00	-21.00	0.00	6.69	
247	0	HR247	13.169167	-24.005833	35.00	35.00	7.00	5.46	
248	0	20____Cet	13.252083	-1.144167	8.00	-17.00	-3.00	4.77	
249	0	HR249	13.367500	37.418056	13.00	-46.00	0.00	6.06	
250	0	HR250	13.448333	52.689167	76.00	-26.00	13.00	6.27	
